what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1379279982795
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1379279996938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379279998939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379280002615
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379280003817
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379280063875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379280066041
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379280066191
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1379280261587
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1379280262127
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379280265937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379280267768
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379280270300
opened,editor,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1379280270430
activated,editor,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1379280270450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379280273290
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1379280275490
closed,editor,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1379280275490
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379280297523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379280299094
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1379280304526
error,log,,,"Unexpected runtime error while computing a text hover",1379280305826
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1379280344181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379280347542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379280349453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379280701177
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379280702468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379280702558
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379280913317
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379280918278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379280919499
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379280920740
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379280922580
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379280944032
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379280951893
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379280966605
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379280967595
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1379281007361
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1379281009832
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1379281015662
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1379281019143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1379281021443
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1379281024234
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1379281033125
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1379281033365
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379281044447
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379281046457
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379281053568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379281054689
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1379281058050
error,log,,,"Unexpected runtime error while computing a text hover",1379281071242
error,log,,,"Unexpected runtime error while computing a text hover",1379281084623
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1379281096015
error,log,,,"Unexpected runtime error while computing a text hover",1379281113067
error,log,,,"Unexpected runtime error while computing a text hover",1379281113907
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1379281134760
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1379281135310
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1379281135510
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1379281138150
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1379281150421
