what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1379011102894
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1379011110385
closed,editor,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1379011110385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379011115166
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379011116656
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1379011132258
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1379011138729
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379011140859
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379011146705
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379011151576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379011156107
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1379011164377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379011166908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379011292412
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1379011301773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379011317925
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379011320066
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1379011348189
