what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273478972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273538309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273540970
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273550018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273551469
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273570442
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1379273607898
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1379273657574
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1379273657694
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1379273657704
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273671506
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273685748
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1379273685868
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1379273685928
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1379273720044
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273721084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273721544
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273754008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273797544
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273802205
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273802305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273805345
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273807515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273837139
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273838019
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1379273841970
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1379273844550
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1379273846560
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1379273847871
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1379273849301
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1379273850911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273852191
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273854671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273890317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273890797
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273901908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273908209
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273909089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273910179
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273914550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273930833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273935733
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273936713
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273942324
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273943804
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273983189
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379273997582
