what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277265582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277267752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277268902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277273442
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277275173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277286344
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277290555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277293615
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277293705
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277295175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277300156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277301786
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277308087
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277311287
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277311377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277313027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277318528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277321198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277321298
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277323068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277325599
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277335800
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277339570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277340110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277340870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277342821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277370405
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277372285
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277384077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277388027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277388857
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277397438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277398789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277417311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277417681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277420211
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277450985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379277455185
