what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1379227645219
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1379227645220
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1379227645221
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1379227645221
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1379227645273
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1379227645274
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1379227645275
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1379227645276
os,sysinfo,,,"win32",1379227645281
arch,sysinfo,,,"x86_64",1379227645281
ws,sysinfo,,,"win32",1379227645281
locale,sysinfo,,,"en_AU",1379227645281
processors,sysinfo,,,"8",1379227645281
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1379227645281
java.runtime.version,sysinfo,,,"1.7.0_40-b43",1379227645281
java.specification.name,sysinfo,,,"Java Platform API Specification",1379227645281
java.specification.vendor,sysinfo,,,"Oracle Corporation",1379227645281
java.specification.version,sysinfo,,,"1.7",1379227645281
java.vendor,sysinfo,,,"Oracle Corporation",1379227645281
java.version,sysinfo,,,"1.7.0_40",1379227645281
java.vm.info,sysinfo,,,"mixed mode",1379227645281
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1379227645281
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1379227645281
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1379227645281
java.vm.specification.version,sysinfo,,,"1.7",1379227645281
java.vm.vendor,sysinfo,,,"Oracle Corporation",1379227645281
java.vm.version,sysinfo,,,"24.0-b56",1379227645281
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1379227653834
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1379227653858
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.BreakpointView",1379227656815
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1379227656947
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1379227656962
opened,editor,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1379227657374
activated,editor,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1379227657421
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1379227657523
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1379227657524
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1379227657546
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1379227657562
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1379227657564
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1379227657667
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1379227657679
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1379227657842
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1379227657868
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1379227669801
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1379227681224
activated,editor,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1379227684859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379227691629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379227721550
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379227723173
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1379227724015
