what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379014300243
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379014301743
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1379014309914
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1379014309994
opened,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1379014310184
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1379014310214
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1379014313834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379014318025
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379014347549
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1379014347689
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1379014347759
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379014349489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379014351329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379014353569
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379014354319
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379014454624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379014456564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379014491278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379014498649
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1379014500269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379014516931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379014517661
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1379014520072
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379014538324
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379014538444
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1379014547075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379014556887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379014564537
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1379014584630
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1379014586991
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1379014598862
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1379014600252
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379014601792
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1379014605943
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.1.v201201112313,"org.eclipse.wst.jsdt.debug.rhino.ui",1379014605993
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1379014606223
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1379014606513
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1379014606673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379014606933
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1379014606933
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1379014616164
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1379014623765
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379014630966
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379014630986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379014633816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379014635926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379014666440
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379014667811
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1379014716356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379014733409
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379014735299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379014749501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379014751731
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1379014769794
